Type,XIP,request_size,count,time (ns),Bandwidth (GB/s)
Posix,Disabled,512,8192,16390280,262.043558
Posix,Disabled,1024,4096,5492209,782.010899
Posix,Disabled,2048,2048,2859024,1502.249473
Posix,Disabled,4096,1024,1550091,2770.783971
Posix,Disabled,8192,512,1094700,3923.419472
Posix,Disabled,16384,256,925815,4639.120446
Posix,Disabled,32768,128,801600,5357.993134
Posix,Disabled,65536,64,762089,5635.781774
Posix,Disabled,131072,32,754823,5690.032360
Posix,Disabled,262144,16,794961,5402.739626
Posix,Disabled,524288,8,789311,5441.413202
Posix,Disabled,1048576,4,761265,5641.881994
Posix,Disabled,512,8192,10748766,399.577709
Posix,Disabled,1024,4096,5502590,780.535583
Posix,Disabled,2048,2048,2859889,1501.795103
Posix,Disabled,4096,1024,1537413,2793.632743
Posix,Disabled,8192,512,1111362,3864.597940
Posix,Disabled,16384,256,937287,4582.339557
Posix,Disabled,32768,128,824471,5209.361270
Posix,Disabled,65536,64,760562,5647.096878
Posix,Disabled,131072,32,745446,5761.607542
Posix,Disabled,262144,16,749047,5733.908948
Posix,Disabled,524288,8,793474,5412.864563
Posix,Disabled,1048576,4,790902,5430.467107
Posix,Disabled,512,8192,11184007,384.027594
Posix,Disabled,1024,4096,5617128,764.619801
Posix,Disabled,2048,2048,2922567,1469.587283
Posix,Disabled,4096,1024,1586961,2706.410111
Posix,Disabled,8192,512,1126249,3813.514859
Posix,Disabled,16384,256,939663,4570.752808
Posix,Disabled,32768,128,808927,5309.462159
Posix,Disabled,65536,64,734423,5848.083864
Posix,Disabled,131072,32,751646,5714.082555
Posix,Disabled,262144,16,795550,5398.739609
Posix,Disabled,524288,8,798661,5377.710062
Posix,Disabled,1048576,4,769358,5582.534134
Posix,Disabled,512,8192,10941072,392.554523
Posix,Disabled,1024,4096,5529128,776.789269
Posix,Disabled,2048,2048,2931770,1464.974161
Posix,Disabled,4096,1024,1554084,2763.664832
Posix,Disabled,8192,512,1115520,3850.193001
Posix,Disabled,16384,256,936377,4586.792815
