Type,XIP,request_size,count,time (ns),Bandwidth (MB/s)
Posix,No_XIP,512,94208,155132229,318.387251
Posix,No_XIP,1024,47104,75301926,655.921124
Posix,No_XIP,2048,23552,41420523,1192.455342
Posix,No_XIP,4096,11776,23555944,2096.800871
Posix,No_XIP,8192,5888,16796386,2940.639963
Posix,No_XIP,16384,2944,13946013,3541.666274
Posix,No_XIP,32768,1472,12135435,4070.074448
Posix,No_XIP,65536,736,10956689,4507.942491
Posix,No_XIP,131072,368,10706587,4613.246397
Posix,No_XIP,262144,184,10620492,4650.643671
Posix,No_XIP,524288,92,10315597,4788.101348
Posix,No_XIP,1048576,46,10294339,4797.988866
Posix,No_XIP,512,94208,132748124,372.073988
Posix,No_XIP,1024,47104,75477678,654.393792
Posix,No_XIP,2048,23552,41766373,1182.581114
Posix,No_XIP,4096,11776,23690659,2084.877584
Posix,No_XIP,8192,5888,16720048,2954.065916
Posix,No_XIP,16384,2944,13961466,3537.746244
Posix,No_XIP,32768,1472,12165688,4059.953198
Posix,No_XIP,65536,736,10964522,4504.722039
Posix,No_XIP,131072,368,10903791,4529.812054
Posix,No_XIP,262144,184,10615664,4652.758782
Posix,No_XIP,524288,92,10406271,4746.380707
Posix,No_XIP,1048576,46,10341907,4775.920331
Quill,No_XIP,512,94208,106483956,463.845689
Quill,No_XIP,1024,47104,56209043,878.722022
Quill,No_XIP,2048,23552,35510413,1390.919444
Quill,No_XIP,4096,11776,20983682,2353.834942
Quill,No_XIP,8192,5888,13593351,3633.550249
Quill,No_XIP,16384,2944,10696807,4617.464249
Quill,No_XIP,32768,1472,9358761,5277.634925
Quill,No_XIP,65536,736,8409974,5873.041213
Quill,No_XIP,131072,368,7991359,6180.691407
Quill,No_XIP,262144,184,8124119,6079.689860
Quill,No_XIP,524288,92,8041870,6141.870473
Quill,No_XIP,1048576,46,9048398,5458.659522
Quill,No_XIP,512,94208,107600314,459.033269
Quill,No_XIP,1024,47104,56233384,878.341661
Quill,No_XIP,2048,23552,35332457,1397.924970
Quill,No_XIP,4096,11776,20984514,2353.741617
Quill,No_XIP,8192,5888,13590862,3634.215689
Quill,No_XIP,16384,2944,10684288,4622.874627
Quill,No_XIP,32768,1472,9365465,5273.857081
Quill,No_XIP,65536,736,8418258,5867.261838
Quill,No_XIP,131072,368,7999895,6174.096523
Quill,No_XIP,262144,184,8157483,6054.824007
Quill,No_XIP,524288,92,8039861,6143.405204
Quill,No_XIP,1048576,46,9019094,5476.395290
Quill,No_XIP,512,94208,106094097,465.550161
Quill,No_XIP,1024,47104,55859416,884.221989
Quill,No_XIP,2048,23552,34572941,1428.635299
Quill,No_XIP,4096,11776,20564959,2401.761360
Quill,No_XIP,8192,5888,13339861,3702.596594
Quill,No_XIP,16384,2944,10509306,4699.846394
Quill,No_XIP,32768,1472,8944650,5521.973907
Quill,No_XIP,65536,736,7919553,6236.731278
Quill,No_XIP,131072,368,7550714,6541.384550
Quill,No_XIP,262144,184,7796444,6335.211784
Quill,No_XIP,524288,92,7653450,6453.576348
Quill,No_XIP,1048576,46,8427305,5860.963132
Posix-mmap,No_XIP,512,94208,13491967,3660.854189
Posix-mmap,No_XIP,1024,47104,7073659,6982.542402
Posix-mmap,No_XIP,2048,23552,9072983,5443.868230
Posix-mmap,No_XIP,4096,11776,7786334,6343.437605
Posix-mmap,No_XIP,8192,5888,6938928,7118.120249
Posix-mmap,No_XIP,16384,2944,6622148,7458.625797
Posix-mmap,No_XIP,32768,1472,7335055,6733.708732
Posix-mmap,No_XIP,65536,736,7121712,6935.428434
Posix-mmap,No_XIP,131072,368,7175357,6883.577208
Posix-mmap,No_XIP,262144,184,7553479,6538.990034
Posix-mmap,No_XIP,524288,92,7569712,6524.967384
Posix-mmap,No_XIP,1048576,46,8350048,5915.190416
Posix-mmap,No_XIP,512,94208,13377666,3692.133135
Posix-mmap,No_XIP,1024,47104,7075002,6981.216953
Posix-mmap,No_XIP,2048,23552,9080397,5439.423398
Posix-mmap,No_XIP,4096,11776,7792640,6338.304336
Posix-mmap,No_XIP,8192,5888,6932098,7125.133532
Posix-mmap,No_XIP,16384,2944,6652051,7425.096997
Posix-mmap,No_XIP,32768,1472,7363287,6707.890634
Posix-mmap,No_XIP,65536,736,7132580,6924.860836
Posix-mmap,No_XIP,131072,368,7177982,6881.059872
Posix-mmap,No_XIP,262144,184,7564543,6529.426021
Posix-mmap,No_XIP,524288,92,7582887,6513.630482
Posix-mmap,No_XIP,1048576,46,8365436,5904.309579
Quill-mmap,No_XIP,512,94208,15729595,3140.076010
Quill-mmap,No_XIP,1024,47104,8491721,5816.503381
Quill-mmap,No_XIP,2048,23552,9877695,5000.369408
Quill-mmap,No_XIP,4096,11776,8228121,6002.843651
Quill-mmap,No_XIP,8192,5888,7217461,6843.420963
Quill-mmap,No_XIP,16384,2944,6860509,7199.483873
Quill-mmap,No_XIP,32768,1472,7799804,6332.482701
Quill-mmap,No_XIP,65536,736,7640725,6464.324250
Quill-mmap,No_XIP,131072,368,7588471,6508.837407
Quill-mmap,No_XIP,262144,184,7915248,6240.123355
Quill-mmap,No_XIP,524288,92,7902216,6250.414302
Quill-mmap,No_XIP,1048576,46,9011268,5481.151366
Quill-mmap,No_XIP,512,94208,12884249,3833.527581
Quill-mmap,No_XIP,1024,47104,7094960,6961.578910
Quill-mmap,No_XIP,2048,23552,9088431,5434.615051
Quill-mmap,No_XIP,4096,11776,7796490,6335.174406
Quill-mmap,No_XIP,8192,5888,6954063,7102.628191
Quill-mmap,No_XIP,16384,2944,6636492,7442.504851
Quill-mmap,No_XIP,32768,1472,7356647,6713.945076
Quill-mmap,No_XIP,65536,736,7143971,6913.819206
Quill-mmap,No_XIP,131072,368,7141698,6916.019678
Quill-mmap,No_XIP,262144,184,7531852,6557.766125
Quill-mmap,No_XIP,524288,92,7521600,6566.704412
Quill-mmap,No_XIP,1048576,46,8376034,5896.838994
Quill-mmap,No_XIP,512,94208,13549204,3645.389346
Quill-mmap,No_XIP,1024,47104,7643833,6461.695841
Quill-mmap,No_XIP,2048,23552,9815160,5032.228094
Quill-mmap,No_XIP,4096,11776,8188708,6031.735886
Quill-mmap,No_XIP,8192,5888,7183997,6875.298515
Quill-mmap,No_XIP,16384,2944,6780440,7284.501287
Quill-mmap,No_XIP,32768,1472,7758176,6366.460867
Quill-mmap,No_XIP,65536,736,7594105,6504.008557
Quill-mmap,No_XIP,131072,368,7535581,6554.520999
Quill-mmap,No_XIP,262144,184,7893969,6256.944245
Quill-mmap,No_XIP,524288,92,7884555,6264.414910
Quill-mmap,No_XIP,1048576,46,8966892,5508.276882
Posix,XIP,512,94208,70661859,698.992704
Posix,XIP,1024,47104,32132992,1537.115619
Posix,XIP,2048,23552,19447532,2539.763087
Posix,XIP,4096,11776,13273576,3721.086458
Posix,XIP,8192,5888,11640881,4242.988473
Posix,XIP,16384,2944,11229401,4398.464700
Posix,XIP,32768,1472,13781440,3583.959579
Posix,XIP,65536,736,13591888,3633.941356
Posix,XIP,131072,368,13555542,3643.684915
Posix,XIP,262144,184,13603523,3630.833270
Posix,XIP,524288,92,13678555,3610.916789
Posix,XIP,1048576,46,13679669,3610.622735
Posix,XIP,512,94208,55621012,888.011960
Posix,XIP,1024,47104,31989396,1544.015520
Posix,XIP,2048,23552,19565979,2524.388067
Posix,XIP,4096,11776,13259648,3724.995106
