Type,XIP,request_size,count,time (ns),Bandwidth (GB/s)
Posix,No_XIP,512,2097152,3449716595,0.311255
Posix,No_XIP,1024,1048576,1684978114,0.637244
Posix,No_XIP,2048,524288,920279033,1.166757
Posix,No_XIP,4096,262144,530752062,2.023057
Posix,No_XIP,8192,131072,375652006,2.858342
Posix,No_XIP,16384,65536,313765480,3.422116
Posix,No_XIP,32768,32768,273271324,3.929215
Posix,No_XIP,65536,16384,245408432,4.375326
Posix,No_XIP,131072,8192,241561996,4.444995
Posix,No_XIP,262144,4096,237205480,4.526632
Posix,No_XIP,524288,2048,231123084,4.645758
Posix,No_XIP,1048576,1024,228655525,4.695893
Posix,No_XIP,512,2097152,3437051092,0.312402
Posix,No_XIP,1024,1048576,1912394248,0.561465
Posix,No_XIP,2048,524288,1034669328,1.037763
Posix,No_XIP,4096,262144,588755133,1.823749
Posix,No_XIP,8192,131072,434524341,2.471074
Posix,No_XIP,16384,65536,370976037,2.894370
Posix,No_XIP,32768,32768,329855371,3.255190
Posix,No_XIP,65536,16384,305833083,3.510875
Posix,No_XIP,131072,8192,296744552,3.618405
Posix,No_XIP,262144,4096,295926829,3.628403
Posix,No_XIP,524288,2048,287439298,3.735543
Posix,No_XIP,1048576,1024,284047910,3.780143
