Type,XIP,request_size,file_size,count,time (ns),Bandwidth (GB/s)
Posix,No_XIP,512,4194304,8192,11163628,0.375712
Posix,No_XIP,1024,4194304,4096,5599450,0.749056
Posix,No_XIP,2048,4194304,2048,2905105,1.443770
Posix,No_XIP,4096,4194304,1024,1550451,2.705215
Posix,No_XIP,8192,4194304,512,1008459,4.159122
Posix,No_XIP,16384,4194304,256,763761,5.491645
Posix,No_XIP,32768,4194304,128,604377,6.939880
Posix,No_XIP,65536,4194304,64,554229,7.567818
Posix,No_XIP,131072,4194304,32,520958,8.051137
Posix,No_XIP,262144,4194304,16,543745,7.713733
Posix,No_XIP,524288,4194304,8,569353,7.366790
Posix,No_XIP,1048576,4194304,4,556244,7.540403
Posix-mmap,No_XIP,512,4194304,8192,2514865,1.667805
Posix-mmap,No_XIP,1024,4194304,4096,324935,12.908132
Posix-mmap,No_XIP,2048,4194304,2048,278746,15.047046
Posix-mmap,No_XIP,4096,4194304,1024,240244,17.458517
Posix-mmap,No_XIP,8192,4194304,512,234953,17.851672
Posix-mmap,No_XIP,16384,4194304,256,219801,19.082279
Posix-mmap,No_XIP,32768,4194304,128,352925,11.884406
Posix-mmap,No_XIP,65536,4194304,64,317798,13.198019
Posix-mmap,No_XIP,131072,4194304,32,337764,12.417854
Posix-mmap,No_XIP,262144,4194304,16,397194,10.559837
Posix-mmap,No_XIP,524288,4194304,8,380978,11.009308
Posix-mmap,No_XIP,1048576,4194304,4,460215,9.113792
Posix,No_XIP,512,4194304,8192,17804520,0.235575
Posix,No_XIP,1024,4194304,4096,7880515,0.532237
Posix,No_XIP,2048,4194304,2048,4063089,1.032294
Posix,No_XIP,4096,4194304,1024,2108275,1.989448
Posix,No_XIP,8192,4194304,512,1284356,3.265686
Posix,No_XIP,16384,4194304,256,917442,4.571738
Posix,No_XIP,32768,4194304,128,708077,5.923514
Posix,No_XIP,65536,4194304,64,661243,6.343060
Posix,No_XIP,131072,4194304,32,546279,7.677952
Posix,No_XIP,262144,4194304,16,571252,7.342301
Posix,No_XIP,524288,4194304,8,622431,6.738585
