FS,Type,request_size,file_size,count,time (ns),Bandwidth (GB/s),Latency (ns)
Ext2,Posix-mmap,512,1073741824,140346648428544,148352541,7.237772,70
Ext2,Posix-mmap,1024,1073741824,140346647379968,99628467,10.777460,95
Ext2,Posix-mmap,2048,1073741824,140346646855680,98686386,10.880344,188
Ext2,Posix-mmap,4096,1073741824,140346646593536,107250800,10.011504,409
Ext2,Posix-mmap,8192,1073741824,140346646462464,99821409,10.756629,761
Ext2,Posix-mmap,16384,1073741824,140346646396928,99313083,10.811686,1515
Ext2,Posix-mmap,32768,1073741824,140346646364160,99537038,10.787360,3037
Ext2,Posix-mmap,65536,1073741824,140346646347776,100970653,10.634197,6162
Ext2,Posix-mmap,131072,1073741824,140346646339584,100037061,10.733440,12211
Ext2,Posix-mmap,262144,1073741824,140346646335488,100251355,10.710497,24475
Ext2,Posix-mmap,524288,1073741824,140346646333440,101316701,10.597876,49471
Ext2,Posix-mmap,1048576,1073741824,140346646332416,103501269,10.374190,101075
Ext2,Posix-mmap,2097152,1073741824,140346646331904,114087507,9.411564,222827
Ext2,Posix-mmap,4194304,1073741824,140346646331648,132622782,8.096209,518057
Ext2,Posix-mmap,8388608,1073741824,140346646331520,237420863,4.522525,1854850
Ext2,Posix-mmap,16777216,1073741824,140346646331456,188987847,5.681539,2952935
Ext2,Posix-mmap,33554432,1073741824,140346646331424,220101950,4.878384,6878185
Ext2,Posix-mmap,67108864,1073741824,140346646331408,207910284,5.164448,12994392
Ext2,Posix,512,1073741824,2097152,1333157354,0.805413,635
Ext2,Posix,1024,1073741824,1048576,701888436,1.529790,669
Ext2,Posix,2048,1073741824,524288,397698657,2.699888,758
Ext2,Posix,4096,1073741824,262144,239098263,4.490797,912
Ext2,Posix,8192,1073741824,131072,178671393,6.009590,1363
Ext2,Posix,16384,1073741824,65536,154282094,6.959601,2354
Ext2,Posix,32768,1073741824,32768,155329375,6.912677,4740
Ext2,Posix,65536,1073741824,16384,148799070,7.216052,9081
Ext2,Posix,131072,1073741824,8192,145081424,7.400960,17710
Ext2,Posix,262144,1073741824,4096,146803541,7.314141,35840
Ext2,Posix,524288,1073741824,2048,156233330,6.872681,76285
Ext2,Posix,1048576,1073741824,1024,145900009,7.359436,142480
Ext2,Posix,2097152,1073741824,512,145742096,7.367410,284652
Ext2,Posix,4194304,1073741824,256,159139229,6.747185,621637
Ext2,Posix,8388608,1073741824,128,172877713,6.210990,1350607
Ext2,Posix,16777216,1073741824,64,227751213,4.714538,3558612
Ext2,Posix,33554432,1073741824,32,234306016,4.582647,7322063
Ext2,Posix,67108864,1073741824,16,236365008,4.542728,14772813
Ext2,Posix-mmap,512,1073741824,140037410783232,125031191,8.587792,59
Ext2,Posix-mmap,1024,1073741824,140037409734656,98589471,10.891040,94
Ext2,Posix-mmap,2048,1073741824,140037409210368,97788748,10.980219,186
Ext2,Posix-mmap,4096,1073741824,140037408948224,106466778,10.085229,406
Ext2,Posix-mmap,8192,1073741824,140037408817152,112934851,9.507622,861
Ext2,Posix-mmap,16384,1073741824,140037408751616,98449889,10.906481,1502
Ext2,Posix-mmap,32768,1073741824,140037408718848,98449296,10.906546,3004
Ext2,Posix-mmap,65536,1073741824,140037408702464,99093552,10.835638,6048
Ext2,Posix-mmap,131072,1073741824,140037408694272,98879814,10.859060,12070
Ext2,Posix-mmap,262144,1073741824,140037408690176,113734398,9.440783,27767
Ext2,Posix-mmap,524288,1073741824,140037408688128,100090134,10.727749,48872
Ext2,Posix-mmap,1048576,1073741824,140037408687104,103110241,10.413532,100693
Ext2,Posix-mmap,2097152,1073741824,140037408686592,112966786,9.504934,220638
Ext2,Posix-mmap,4194304,1073741824,140037408686336,131602098,8.159002,514070
Ext2,Posix-mmap,8388608,1073741824,140037408686208,155361202,6.911261,1213759
Ext2,Posix-mmap,16777216,1073741824,140037408686144,186661219,5.752356,2916581
Ext2,Posix-mmap,33554432,1073741824,140037408686112,216071586,4.969380,6752237
Ext2,Posix-mmap,67108864,1073741824,140037408686096,209582729,5.123236,13098920
Ext2,Posix,512,1073741824,2097152,1332435002,0.805849,635
Ext2,Posix,1024,1073741824,1048576,703227075,1.526878,670
Ext2,Posix,2048,1073741824,524288,398929844,2.691556,760
Ext2,Posix,4096,1073741824,262144,239912337,4.475559,915
Ext2,Posix,8192,1073741824,131072,180094748,5.962094,1374
Ext2,Posix,16384,1073741824,65536,153610558,6.990026,2343
Ext2,Posix,32768,1073741824,32768,155386782,6.910123,4742
Ext2,Posix,65536,1073741824,16384,149381519,7.187916,9117
Ext2,Posix,131072,1073741824,8192,145183655,7.395749,17722
Ext2,Posix,262144,1073741824,4096,146762802,7.316171,35830
Ext2,Posix,524288,1073741824,2048,157565715,6.814565,76936
Ext2,Posix,1048576,1073741824,1024,146155230,7.346585,142729
Ext2,Posix,2097152,1073741824,512,145718736,7.368591,284606
Ext2,Posix,4194304,1073741824,256,146978485,7.305435,574134
Ext2,Posix,8388608,1073741824,128,172988630,6.207008,1351473
Ext2,Posix,16777216,1073741824,64,227769629,4.714157,3558900
Ext2,Posix,33554432,1073741824,32,233993423,4.588769,7312294
Ext2,Posix,67108864,1073741824,16,235899746,4.551687,14743734
Ext2,Posix-mmap,512,1073741824,140153374900224,125461288,8.558352,59
Ext2,Posix-mmap,1024,1073741824,140153373851648,98779916,10.870042,94
Ext2,Posix-mmap,2048,1073741824,140153373327360,97964102,10.960564,186
Ext2,Posix-mmap,4096,1073741824,140153373065216,106616594,10.071057,406
Ext2,Posix-mmap,8192,1073741824,140153372934144,112708527,9.526713,859
Ext2,Posix-mmap,16384,1073741824,140153372868608,98675444,10.881550,1505
Ext2,Posix-mmap,32768,1073741824,140153372835840,98450628,10.906399,3004
Ext2,Posix-mmap,65536,1073741824,140153372819456,99203548,10.823623,6054
Ext2,Posix-mmap,131072,1073741824,140153372811264,98817218,10.865939,12062
Ext2,Posix-mmap,262144,1073741824,140153372807168,113115595,9.492430,27616
Ext2,Posix-mmap,524288,1073741824,140153372805120,100263535,10.709196,48956
Ext2,Posix-mmap,1048576,1073741824,140153372804096,103081350,10.416451,100665
Ext2,Posix-mmap,2097152,1073741824,140153372803584,113387526,9.469664,221460
Ext2,Posix-mmap,4194304,1073741824,140153372803328,133870219,8.020767,522930
Ext2,Posix-mmap,8388608,1073741824,140153372803200,154785253,6.936978,1209259
Ext2,Posix-mmap,16777216,1073741824,140153372803136,187068941,5.739819,2922952
Ext2,Posix-mmap,33554432,1073741824,140153372803104,219189966,4.898681,6849686
Ext2,Posix-mmap,67108864,1073741824,140153372803088,208971432,5.138223,13060714
Ext2,Posix,512,1073741824,2097152,1333538749,0.805182,635
Ext2,Posix,1024,1073741824,1048576,703486870,1.526314,670
Ext2,Posix,2048,1073741824,524288,398468473,2.694672,760
Ext2,Posix,4096,1073741824,262144,240197757,4.470241,916
Ext2,Posix,8192,1073741824,131072,179031111,5.997515,1365
Ext2,Posix,16384,1073741824,65536,153436392,6.997961,2341
Ext2,Posix,32768,1073741824,32768,155169227,6.919812,4735
Ext2,Posix,65536,1073741824,16384,148829821,7.214561,9083
Ext2,Posix,131072,1073741824,8192,145300043,7.389825,17736
Ext2,Posix,262144,1073741824,4096,147019321,7.303406,35893
Ext2,Posix,524288,1073741824,2048,157234599,6.828916,76774
Ext2,Posix,1048576,1073741824,1024,146073964,7.350672,142650
Ext2,Posix,2097152,1073741824,512,145765230,7.366241,284697
Ext2,Posix,4194304,1073741824,256,146823530,7.313145,573529
Ext2,Posix,8388608,1073741824,128,174517249,6.152640,1363416
Ext2,Posix,16777216,1073741824,64,227656504,4.716500,3557132
Ext2,Posix,33554432,1073741824,32,236925438,4.531982,7403919
Ext2,Posix,67108864,1073741824,16,235093306,4.567301,14693331
Ext2,Posix-mmap,512,1073741824,139835547320320,125059828,8.585825,59
