FS,Type,request_size,file_size,count,time (ns),Bandwidth (GB/s)
PMFS,Posix,512,1073741824,2097152,838778078,1.280126
PMFS,Posix,1024,1073741824,1048576,455027254,2.359731
PMFS,Posix,2048,1073741824,524288,259852611,4.132119
PMFS,Posix,4096,1073741824,262144,178707346,6.008381
PMFS,Posix,8192,1073741824,131072,190049847,5.649791
PMFS,Posix,16384,1073741824,65536,144454933,7.433058
PMFS,Posix,32768,1073741824,32768,126606959,8.480907
PMFS,Posix,65536,1073741824,16384,118086518,9.092840
PMFS,Posix,131072,1073741824,8192,111446787,9.634570
PMFS,Posix,262144,1073741824,4096,109020403,9.848999
PMFS,Posix,524288,1073741824,2048,108454635,9.900377
PMFS,Posix,1048576,1073741824,1024,118807353,9.037671
PMFS,Posix,2097152,1073741824,512,107555379,9.983153
PMFS,Posix,4194304,1073741824,256,108367652,9.908324
PMFS,Posix,8388608,1073741824,128,138715387,7.740611
PMFS,Posix,16777216,1073741824,64,204675003,5.246082
PMFS,Posix,33554432,1073741824,32,234684347,4.575260
PMFS,Posix,67108864,1073741824,16,274116392,3.917102
PMFS,Posix-mmap,512,1073741824,2097152,124841131,8.600866
PMFS,Posix-mmap,1024,1073741824,1048576,98275493,10.925835
PMFS,Posix-mmap,2048,1073741824,524288,110203222,9.743289
PMFS,Posix-mmap,4096,1073741824,262144,105178615,10.208747
PMFS,Posix-mmap,8192,1073741824,131072,98912259,10.855498
PMFS,Posix-mmap,16384,1073741824,65536,98559876,10.894310
PMFS,Posix-mmap,32768,1073741824,32768,98416216,10.910212
PMFS,Posix-mmap,65536,1073741824,16384,111650549,9.616987
PMFS,Posix-mmap,131072,1073741824,8192,99303099,10.812773
PMFS,Posix-mmap,262144,1073741824,4096,99782763,10.760795
PMFS,Posix-mmap,524288,1073741824,2048,99807168,10.758163
PMFS,Posix-mmap,1048576,1073741824,1024,102062106,10.520475
PMFS,Posix-mmap,2097152,1073741824,512,113433190,9.465852
PMFS,Posix-mmap,4194304,1073741824,256,131325844,8.176165
PMFS,Posix-mmap,8388608,1073741824,128,154921959,6.930856
PMFS,Posix-mmap,16777216,1073741824,64,200749911,5.348654
PMFS,Posix-mmap,33554432,1073741824,32,202778604,5.295144
PMFS,Posix-mmap,67108864,1073741824,16,208264737,5.155658
PMFS,Posix,512,1073741824,2097152,837931877,1.281419
PMFS,Posix,1024,1073741824,1048576,448047283,2.396492
PMFS,Posix,2048,1073741824,524288,267800083,4.009490
PMFS,Posix,4096,1073741824,262144,167918743,6.394413
PMFS,Posix,8192,1073741824,131072,189711946,5.659854
PMFS,Posix,16384,1073741824,65536,155693537,6.896509
PMFS,Posix,32768,1073741824,32768,127301235,8.434654
PMFS,Posix,65536,1073741824,16384,117526084,9.136200
PMFS,Posix,131072,1073741824,8192,111374399,9.640832
PMFS,Posix,262144,1073741824,4096,118550746,9.057234
PMFS,Posix,524288,1073741824,2048,108408348,9.904605
PMFS,Posix,1048576,1073741824,1024,107971340,9.944693
PMFS,Posix,2097152,1073741824,512,107542945,9.984307
PMFS,Posix,4194304,1073741824,256,108466401,9.899304
PMFS,Posix,8388608,1073741824,128,143053225,7.505890
PMFS,Posix,16777216,1073741824,64,204555754,5.249140
PMFS,Posix,33554432,1073741824,32,248975547,4.312640
PMFS,Posix,67108864,1073741824,16,255833281,4.197037
PMFS,Posix-mmap,512,1073741824,2097152,135835319,7.904732
PMFS,Posix-mmap,1024,1073741824,1048576,98407920,10.911132
PMFS,Posix-mmap,2048,1073741824,524288,97999122,10.956647
PMFS,Posix-mmap,4096,1073741824,262144,104983778,10.227693
PMFS,Posix-mmap,8192,1073741824,131072,99030066,10.842584
PMFS,Posix-mmap,16384,1073741824,65536,108585382,9.888456
PMFS,Posix-mmap,32768,1073741824,32768,98223837,10.931581
PMFS,Posix-mmap,65536,1073741824,16384,99332636,10.809557
PMFS,Posix-mmap,131072,1073741824,8192,99009559,10.844830
PMFS,Posix-mmap,262144,1073741824,4096,99217051,10.822150
PMFS,Posix-mmap,524288,1073741824,2048,113973780,9.420955
PMFS,Posix-mmap,1048576,1073741824,1024,101857668,10.541590
PMFS,Posix-mmap,2097152,1073741824,512,109280575,9.825551
PMFS,Posix-mmap,4194304,1073741824,256,132319493,8.114767
PMFS,Posix-mmap,8388608,1073741824,128,171301703,6.268133
PMFS,Posix-mmap,16777216,1073741824,64,185682365,5.782681
PMFS,Posix-mmap,33554432,1073741824,32,201682288,5.323927
PMFS,Posix-mmap,67108864,1073741824,16,208858457,5.141002
PMFS,Posix,512,1073741824,2097152,834611132,1.286517
PMFS,Posix,1024,1073741824,1048576,449389531,2.389334
PMFS,Posix,2048,1073741824,524288,259749874,4.133753
PMFS,Posix,4096,1073741824,262144,168416872,6.375500
PMFS,Posix,8192,1073741824,131072,199861749,5.372423
PMFS,Posix,16384,1073741824,65536,144737579,7.418542
PMFS,Posix,32768,1073741824,32768,126709684,8.474031
PMFS,Posix,65536,1073741824,16384,117416064,9.144761
PMFS,Posix,131072,1073741824,8192,111409866,9.637762
PMFS,Posix,262144,1073741824,4096,109136968,9.838480
PMFS,Posix,524288,1073741824,2048,108834408,9.865831
PMFS,Posix,1048576,1073741824,1024,107534294,9.985111
