FS,Type,request_size,file_size,count,time (ns),Bandwidth (GB/s),Latency (ns)
PMFS,Posix,512,1073741824,2097152,844969277,1.270747,402
PMFS,Posix,1024,1073741824,1048576,460903681,2.329645,439
PMFS,Posix,2048,1073741824,524288,262255442,4.094259,500
PMFS,Posix,4096,1073741824,262144,169199079,6.346026,645
PMFS,Posix,8192,1073741824,131072,190348250,5.640934,1452
PMFS,Posix,16384,1073741824,65536,144818246,7.414410,2209
PMFS,Posix,32768,1073741824,32768,128875261,8.331636,3932
PMFS,Posix,65536,1073741824,16384,118492415,9.061692,7232
PMFS,Posix,131072,1073741824,8192,112227626,9.567536,13699
PMFS,Posix,262144,1073741824,4096,110232423,9.740708,26912
PMFS,Posix,524288,1073741824,2048,109554870,9.800950,53493
PMFS,Posix,1048576,1073741824,1024,121537958,8.834621,118689
PMFS,Posix,2097152,1073741824,512,108739020,9.874485,212380
PMFS,Posix,4194304,1073741824,256,110469592,9.719795,431521
PMFS,Posix,8388608,1073741824,128,144886685,7.410908,1131927
PMFS,Posix,16777216,1073741824,64,219293462,4.896370,3426460
PMFS,Posix,33554432,1073741824,32,237257444,4.525640,7414295
PMFS,Posix,67108864,1073741824,16,266878126,4.023341,16679882
PMFS,Posix-mmap,512,1073741824,139676633530368,124959035,8.592751,59
PMFS,Posix-mmap,1024,1073741824,139676632481792,98701697,10.878656,94
PMFS,Posix-mmap,2048,1073741824,139676631957504,111139605,9.661199,211
PMFS,Posix-mmap,4096,1073741824,139676631695360,106454278,10.086413,406
PMFS,Posix-mmap,8192,1073741824,139676631564288,99170820,10.827195,756
PMFS,Posix-mmap,16384,1073741824,139676631498752,98356052,10.916886,1500
PMFS,Posix-mmap,32768,1073741824,139676631465984,98280872,10.925237,2999
PMFS,Posix-mmap,65536,1073741824,139676631449600,113098539,9.493861,6902
PMFS,Posix-mmap,131072,1073741824,139676631441408,99014984,10.844236,12086
PMFS,Posix-mmap,262144,1073741824,139676631437312,99143255,10.830205,24204
PMFS,Posix-mmap,524288,1073741824,139676631435264,100675752,10.665347,49158
PMFS,Posix-mmap,1048576,1073741824,139676631434240,102686518,10.456502,100279
PMFS,Posix-mmap,2097152,1073741824,139676631433728,124310627,8.637571,242794
PMFS,Posix-mmap,4194304,1073741824,139676631433472,135313067,7.935241,528566
PMFS,Posix-mmap,8388608,1073741824,139676631433344,156852481,6.845552,1225410
PMFS,Posix-mmap,16777216,1073741824,139676631433280,201575140,5.326757,3149611
PMFS,Posix-mmap,33554432,1073741824,139676631433248,201794330,5.320971,6306072
PMFS,Posix-mmap,67108864,1073741824,139676631433232,208233110,5.156441,13014569
PMFS,Posix,512,1073741824,2097152,846407324,1.268588,403
PMFS,Posix,1024,1073741824,1048576,454476312,2.362591,433
PMFS,Posix,2048,1073741824,524288,270523276,3.969129,515
PMFS,Posix,4096,1073741824,262144,169296670,6.342368,645
PMFS,Posix,8192,1073741824,131072,190463690,5.637515,1453
PMFS,Posix,16384,1073741824,65536,155901714,6.887300,2378
PMFS,Posix,32768,1073741824,32768,129197682,8.310844,3942
PMFS,Posix,65536,1073741824,16384,118285171,9.077569,7219
PMFS,Posix,131072,1073741824,8192,112196096,9.570224,13695
PMFS,Posix,262144,1073741824,4096,122460287,8.768082,29897
PMFS,Posix,524288,1073741824,2048,109529457,9.803224,53481
PMFS,Posix,1048576,1073741824,1024,108641001,9.883394,106094
PMFS,Posix,2097152,1073741824,512,108452313,9.900589,211820
PMFS,Posix,4194304,1073741824,256,109542245,9.802080,427899
PMFS,Posix,8388608,1073741824,128,142927215,7.512508,1116618
PMFS,Posix,16777216,1073741824,64,204922378,5.239749,3201912
PMFS,Posix,33554432,1073741824,32,244161756,4.397666,7630054
PMFS,Posix,67108864,1073741824,16,266599483,4.027547,16662467
PMFS,Posix-mmap,512,1073741824,139818367451136,136469334,7.868008,65
PMFS,Posix-mmap,1024,1073741824,139818366402560,98767157,10.871446,94
PMFS,Posix-mmap,2048,1073741824,139818365878272,97875392,10.970498,186
PMFS,Posix-mmap,4096,1073741824,139818365616128,106328617,10.098333,405
PMFS,Posix-mmap,8192,1073741824,139818365485056,99315304,10.811444,757
PMFS,Posix-mmap,16384,1073741824,139818365419520,111052233,9.668800,1694
PMFS,Posix-mmap,32768,1073741824,139818365386752,98158918,10.938811,2995
PMFS,Posix-mmap,65536,1073741824,139818365370368,99103240,10.834578,6048
PMFS,Posix-mmap,131072,1073741824,139818365362176,98856185,10.861655,12067
PMFS,Posix-mmap,262144,1073741824,139818365358080,99514398,10.789814,24295
PMFS,Posix-mmap,524288,1073741824,139818365356032,115709719,9.279617,56498
PMFS,Posix-mmap,1048576,1073741824,139818365355008,102534819,10.471973,100131
PMFS,Posix-mmap,2097152,1073741824,139818365354496,111202100,9.655769,217191
PMFS,Posix-mmap,4194304,1073741824,139818365354240,133079961,8.068396,519843
PMFS,Posix-mmap,8388608,1073741824,139818365354112,174638543,6.148367,1364363
PMFS,Posix-mmap,16777216,1073741824,139818365354048,184983875,5.804516,2890373
PMFS,Posix-mmap,33554432,1073741824,139818365354016,201726018,5.322773,6303938
PMFS,Posix-mmap,67108864,1073741824,139818365354000,208655964,5.145992,13040997
PMFS,Posix,512,1073741824,2097152,846905257,1.267842,403
PMFS,Posix,1024,1073741824,1048576,454765445,2.361089,433
PMFS,Posix,2048,1073741824,524288,262124054,4.096312,499
PMFS,Posix,4096,1073741824,262144,169407533,6.338218,646
PMFS,Posix,8192,1073741824,131072,190680496,5.631105,1454
PMFS,Posix,16384,1073741824,65536,145144969,7.397720,2214
PMFS,Posix,32768,1073741824,32768,129018822,8.322366,3937
PMFS,Posix,65536,1073741824,16384,131424700,8.170015,8021
PMFS,Posix,131072,1073741824,8192,112381024,9.554476,13718
PMFS,Posix,262144,1073741824,4096,110187006,9.744723,26901
PMFS,Posix,524288,1073741824,2048,109908413,9.769423,53666
PMFS,Posix,1048576,1073741824,1024,108676204,9.880193,106129
PMFS,Posix,2097152,1073741824,512,108632003,9.884213,212171
PMFS,Posix,4194304,1073741824,256,110276708,9.736796,430768
PMFS,Posix,8388608,1073741824,128,159719322,6.722680,1247807
PMFS,Posix,16777216,1073741824,64,218951109,4.904026,3421111
PMFS,Posix,33554432,1073741824,32,224684639,4.778884,7021394
PMFS,Posix,67108864,1073741824,16,263940668,4.068118,16496291
PMFS,Posix-mmap,512,1073741824,140239274246144,125123052,8.581487,59
PMFS,Posix-mmap,1024,1073741824,140239273197568,98817148,10.865946,94
PMFS,Posix-mmap,2048,1073741824,140239272673280,97708845,10.989198,186
PMFS,Posix-mmap,4096,1073741824,140239272411136,107538267,9.984742,410
PMFS,Posix-mmap,8192,1073741824,140239272280064,99326559,10.810219,757
PMFS,Posix-mmap,16384,1073741824,140239272214528,98427478,10.908964,1501
PMFS,Posix-mmap,32768,1073741824,140239272181760,98139915,10.940929,2994
PMFS,Posix-mmap,65536,1073741824,140239272165376,99328603,10.809996,6062
PMFS,Posix-mmap,131072,1073741824,140239272157184,99168212,10.827480,12105
PMFS,Posix-mmap,262144,1073741824,140239272153088,99313693,10.811619,24246
PMFS,Posix-mmap,524288,1073741824,140239272151040,100982545,10.632945,49307
PMFS,Posix-mmap,1048576,1073741824,140239272150016,105841937,10.144767,103361
PMFS,Posix-mmap,2097152,1073741824,140239272149504,112060433,9.581810,218868
PMFS,Posix-mmap,4194304,1073741824,140239272149248,133171195,8.062868,520199
PMFS,Posix-mmap,8388608,1073741824,140239272149120,156455262,6.862932,1222306
PMFS,Posix-mmap,16777216,1073741824,140239272149056,185156243,5.799112,2893066
PMFS,Posix-mmap,33554432,1073741824,140239272149024,202605015,5.299680,6331406
PMFS,Posix-mmap,67108864,1073741824,140239272149008,208269386,5.155543,13016836
PMFS,Posix,512,1073741824,2097152,844371597,1.271646,402
PMFS,Posix,1024,1073741824,1048576,460471824,2.331830,439
PMFS,Posix,2048,1073741824,524288,262110213,4.096528,499
PMFS,Posix,4096,1073741824,262144,169119363,6.349018,645
PMFS,Posix,8192,1073741824,131072,190560329,5.634656,1453
